X,Y,NAME,TYPE,ADDRESS,PHONE,ZIP,BATTALION,WARD,HISTORY_DESCRIPTION,NEAREST_BUS_STOP,NEAREST_METRO,LATITUDE,LONGITUDE,XCOORD,YCOORD,MAR_ID,GIS_ID,GLOBALID,OBJECTID,SE_ANNO_CAD_DATA,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE
-76.98677047,38.92479437,Engine Company 26,Engine House 26,1340 RHODE ISLAND AVENUE NE,(202) 673-3226,20018,1,5,"Organized: July 9, 1913 Replaced 2nd Chemical 3.

Original apparatus: 1908 Robinson 70 gallon Combination Chemical Hose Wagon. 1893 Clapp & Jones 600 gpm steam fire engine.

1st Location: 2700 22nd Street in Chemical 3 firehouse.

2nd Location: 1340 Brentwood Rd. NE with Truck Co. 15 (address changed to Rhode Island Ave. NE.

Current apparatus: 2008 Seagrave 1250 gpm pumper.

Engine 26
Ambulance 26
Truck Company 15",B8 B9,Rhode Island Ave-Brentwood,38.92469713,-76.986772,401147.38,139656.9,294518,Fire_009,{675A6448-2375-4E5A-AE26-D0FE0B725F98},15,,,,,
-76.94098937,38.90329615,Engine Company 27,Engine House 27,4409 MINNESOTA AVENUE NE,(202) 673-3227,20019,2,7,"Organized: December 2, 1908 Replaced 2nd Chemical 1.

Original apparatus: 1903 American LaFrance 70 gallon Combination Chemical Hose Wagon. 1906 American LaFrance Metropolitan 500 gpm steam fire engine.

Location: 4409 Minnesota Ave. NE in Chemical 1 firehouse.

Current apparatus: 2019 Pierce 1500 GPM Pumper.

Engine 27
Ambulance 27
Medic Unit 27",V7 V8 V9,Minnesota Ave,38.90328836,-76.94098711,405118.77,137271.99,310943,Fire_007,{9DF99EE5-39C0-4303-BCCD-90C055CD4239},16,,,,JLAY,2023/11/08 00:47:31+00
-77.05940588,38.93635255,Engine Company 28,Engine House 28,3522 CONNECTICUT AVENUE NW,(202) 673-3228,20008,5,3,"Organized: December 1, 1916.

Original Apparatus: 1915 American LaFrance 50 gallon Combination Chemical Hose Wagon. 1915 American LaFrance 750 gpm pumper.

Location: 3522 Connecticut Ave. NW.

Current Apparatus: 2003 Seagrave 1250 gpm pumper.

Engine 28
Ambulance 28
Truck Company 14",H5,Cleveland Park,38.93634476,-77.05940357,394849.73,140941.55,220960,Fire_014,{FAFED40F-0BC1-4529-8093-FF867C776FD8},17,,,,,
-77.09352595,38.9155728,Engine Company 29,Engine House 29,4811 MACARTHUR BOULEVARD NW,(202) 673-3229,20007,5,3,"Organized: December 1, 1925.

Original Apparatus: 1919 American LaFrance 50 gallon Combination Chemical Hose Wagon. 1919 American LaFrance 750 gpm pumper.

Location: 4811 Conduit Rd. NW (now MacArthur Blvd.)

Current Apparatus: 2003 Seagrave 1250 gpm pumper.

Engine 29
Ambulance 29
Truck Company 5
Gator 2",D5,Woodley Park-Zoo/Adams Morgan,38.91556502,-77.09352363,391889.17,138637.3,284959,Fire_017,{453E2590-C6F9-4424-8A98-3C3ADFB16388},18,,,,,
-76.93339862,38.89070287,Engine Company 30,Engine House 30,50 49TH STREET NE,(202) 673-3230,20019,2,7,"Organized: March 27, 1955.

Original Apparatus: 1939 Buffalo 750 gpm combination pumper hose wagon. 1936 Pirsch 750 gpm pumper.

Location: 50 49th Street NE.

Current Apparatus: 2006 Seagrave 1250 gpm pumper.

Engine 30
Ambulance 30
Truck Company 17
Medic Unit 30",U5 U6,Benning Road,38.89069333,-76.9333181,405778.21,135874.49,156317,Fire_006,{27BFB709-1E4F-4A2D-AC6A-F98A39042FF5},19,,,,,
-77.06991252,38.95424801,Engine Company 31,Engine House 31,4930 CONNECTICUT AVENUE NW,(202) 673-3231,20008,5,3,"Organized: November 28, 1930.

Original Apparatus: 1931 American LaFrance 300 gpm Booster Hose Wagon. 1931 American LaFrance 750 gpm pumper.

Location: 4930 Connecticut Ave. NW.

Current Apparatus: 2003 Seagrave 1250 gpm pumper.

Engine 31
Medic Unit 31",L1 L2 L4,Tenleytown-AU,38.95424021,-77.0699102,393940.33,142928.75,294604,Fire_015,{921E759F-5E03-43BC-8BD0-CA50FBF4ABCD},20,,,,,
-76.97136819,38.85264775,Engine Company 32,Engine House 32,2425 IRVING STREET SE,(202) 673-3232,20020,3,8,"Organized: October 12, 1957.

Original Apparatus: 1957 Mack 750 gpm pumper. 1955 Ward LaFrance 750 gpm pumper.

Location: 2425 Irving Street SE.

Current Apparatus: 2006 Seagrave 1250 gpm pumper.

Engine 32
Ambulance 32
Truck Company 16",W2 W3,Congress Heights,38.85266817,-76.97136786,402485.48,131648.37,47304,Fire_004,{24544A28-AEA1-408C-97E1-91BBEA293916},21,,,,,
-77.0051497,38.83090277,Engine Company 33,Engine House 33,101 ATLANTIC STREET SE,(202) 673-3233,20032,3,8,"Organized: January 11, 1987.

Original Apparatus: 1971 Ford/Young 750 gpm pumper 1965 Pirsch 750 gpm pumper.

Location: 101 Atlantic Street SE.

Current Apparatus: 2006 Seagrave 1250 gpm pumper.

Engine 33
Ambulance 33
Truck Company 8
Medic Unit 33
MCU 2
MAB 3",A2-8 A42-48,Congress Heights,38.8309331,-77.00524451,399553.06,129234.15,294471,Fire_032,{6194E9B6-00B2-490B-AD24-01779CDF5EF9},22,,,,,
-76.99292453,38.94321248,Fire and Police Clinic,Clinic,920 VARNUM STREET NE,(202) 269-7433,20032,1,5,"The Medical Services Office is within the Risk Management Division of the Department. It is located on the ground of Providence Hospital in North East Washington, D.C. Medical services are provided to members of the department, both uniform and civilian, through a contractual agreement with Police & Fire Clinic Associates, LLC.

The main goal of the Medical Services Office is to see that members receive proper, professional healthcare in order to keep them as healthy, active, contributing members of the service. Some examples of the care offered are annual physicals, cardiac stress testing, referrals to outside specialty providers and physical therapy.",80,Brookland-CUA,38.943205,-76.992922,400613.58,141701.41,289075,Fire_036,{29AC7B5C-6CB1-45DC-8168-8400AC363B13},23,,,,,
-77.02085146,38.87388251,Fire Boat,Boat,550 WATER STREET SW,(202) 673-3200,20024,6,6,"1920 - Present

2nd Location: Maine Ave. & N Street SW on September 10, 1946

Fire Boat 2 added in 1981 (manned by Fire Boat crew)

Original Apparatus: 1965 Coast Guard Utility Boat with 225 gpm pump

Current Apparatus:  Fire Boat 1: 1962/2004 Dies Ship custom 5000 gpm fireboat

Fire Boat 2: 2006 Metal Craft 30 custom 1750 gpm fireboat

Fire Boat 3

Fire Boat 4

Fire Boat Support Unit ",70 71,Waterfront-SEU,38.87387473,-77.02084918,398190.8,134005.4,294491,Fire_037,{B6290012-2DF0-456B-AA19-09800633977E},24,,,,,
-77.01716181,38.8776215,Fire Prevention,Fire Prevention,1100 4TH STREET SW,(202) 727-1600,20024,2,6,"The Fire Prevention Division of the DC Fire & EMS Department, is located at 1100 4th St. SW, Suite E-700 in the Waterfront Complex.  The office is conveniently located on the Metrorail Green line at the Waterfront/SEU metro stop.   The office is home to the fire marshal's office, public education office, Juvenile Fire setter's counseling, and most importantly the permit center.  All fire prevention permits, inspection fees, and service requests are handled at our 2nd floor permit center location.  Residents requesting basic fire incident reports (NFIRS) for incidents occurring in their legal residences can obtain these at the permit center as well.",,Waterfront-SEU,38.877614,-77.01716,398511.05,134420.39,307170,Fire_038,{5BE639CE-8D89-4D87-A049-3DD5E846F82D},25,,,,,
-77.03240582,38.91745182,Fire and EMS Headquarters,Headquarters,2000 14TH STREET NW,(202) 673-3320,20009,4,1,Fire and Ems Headquarter located in  U Street-Cardozo Metro Station,"92, 93,96, 52,53,54, connector",U Street/African-Amer Civil War Memorial/Cardozo,38.917444,-77.0324041,397189.88,138842.23,239976,Fire_034,{AB2085A6-4C71-4F0B-AB0D-2EDD001DDE46},26,,,,,
-77.03001791,38.90331845,Homeland Security Special Operations,Company,1018 13TH STREET NW,2026736614,20005,4,1,"The mission of the Special Operations Division is to provide a coordinated response to unique Hazmat, WMD and technical rescue situations through the application of highly trained and specialized resources. This is accomplished in accordance with and in relation to; &ldquo;all hazard&rdquo; planning and preparedness; special event coordination, CBRNE counter-measures and integration with various City, State, Regional and Federal/DOD partners.",,,-77.03001561,38.90331067,397396.45,137273.24,240645,Fire_039,{4666F0AD-7DF1-42FC-80F7-56BC1147E91F},27,,,,,
-77.00308912,38.82391137,Patricia R. Harris,Recruit Processing,4600 LIVINGSTON ROAD SE,(202) 673-6901,20032,3,8,"Recruit Processing Academy located in old Patricia R Harris elementary school provide CPR training, AED , First Aid and C-Pad training.",,"Southern Avenue, Anacostia",38.823904,-77.003087,399731.95,128458.05,294600,Fire_040,{5559CA03-1EBA-46BA-85E3-19C5B1B65D62},28,,,,,
-76.96206622,38.91907291,Property Management,Warehouse,3170 V STREET NE,(202) 673-4406,20018,1,5,"The Logistics Section provides the following services: medical, office, household, work and dress uniforms; issues PPE, approves property disposal actions and requests for surplus property.",B2,Rhode Island Ave-Brentwood,38.919065,-76.962064,403289.84,139022.37,287707,Fire_041,{41614185-FCD4-4DE6-B6CF-41433FBF6FB9},29,,,,,
-77.0160828,38.8205423,Training Academy,Training Academy,4600 SHEPHERD PARKWAY SW,(202) 673-3245,20036,3,8,"The Training Academy (FEMS-TA) offers courses in many areas including hazardous materials response, Pre-hospital emergency patient care and general fire service training. The general fire service training areas include fire suppression, technical rescue, incident command, fire instructor development, fire officer development, firefighter health and safety. Emergency patient care courses include emergency medical technician basic (EMT), EMT - Intermediate, cardio-pulmonary resuscitation and advanced life support related courses.",A4 or A5,Anacostia,38.820535,-77.016081,398603.56,128084.18,295479,Fire_042,{13F96804-EAFA-4D7C-B62B-12044CC79D1F},30,,,,,
-77.03240582,38.91745182,DC FEMS Human Resources,Human Resources,2000 14TH STREET NW,(202) 673-7580,20009,4,1,"The DC Fire and Emergency Medical Services Department Human Resources Division serves as the liaison office between the Agency and DC Department of Human Resources (DCHR).

The main goal of the Human Resources office is to provide human resources services to all employees of the Department.This includes recruitment - advertising positions, conducting job fairs, responding to all HR questions relating to appointments, promotions, terminations, etc. In addition, provides position classification assistance in developing, creating and recertifying position descriptions, provides advisory services and counseling to management and employees and is responsible for data cleansing employees' records in the PeopleSoft System.",52 53 54,U Street/African-Amer Civil War Memorial/Cardozo,38.917444,-77.032404,397189.88,138842.23,239976,Fire_043,{71D87ABC-D920-4436-A866-6BA529631E0B},31,,,,,
-77.04969782,38.90549023,Engine Company 01,Engine House 1,2225 M STREET NW,(202) 673-3201,20007,6,2,"Organized: July 1, 1864 Washington City Fire Department.

Original Apparatus: 1867 John Rodgers Hose Reel Carriage 1866 Amoskeag 600 gpm steam fire engine.

Became District of Columbia Fire Department September 23, 1871.

1st Location: 19th & H Streets NW in the old Union Fire Company firehouse.

2nd Location: New firehouse at 1643 K Street NW on January 5, 1867. Station renovated in the 1950s.

3rd Location: New firehouse at 2225 M Street NW in October 1960 with Truck Co. 2 and 2 Battalion Chief.

Current Apparatus 2003 Seagrave 1250 gpm pumper.

Engine 1
Ambulance 1
Truck Company 2
Medic Unit 1
TAU2",L1 L2 L4,Foggy Bottom-GWU,38.9054943,-77.049798,395689.55,137515.07,294540,Fire_026,{643ECCCB-28C7-4B5D-AF09-A5027B70F05D},32,,,,,
-77.01948898,38.89708185,Engine Company 02,Engine House 2,500 F STREET NW,(202) 673-3202,20001,6,6,"Organized: July 1, 1864 Washington City Fire Department

Original Apparatus: Unknown make Hose Reel Carriage 1866 Amoskeag 600 gpm steam fire engine.

Became District of Columbia Fire Department September 23, 1871.

1st Location: 1204 D Street NW in old Franklin Fire Company firehouse.

2nd Location: 15th & D Streets NW on January 5, 1897.

3rd Location: 719 12th Street NW on November 9, 1910.

4th Location: 500 F Street NW on May 31, 1979. Current Apparatus 2002 Seagrave 1250 gpm pumper.

Engine 2
Rescue Squad 1
Medic Unit 2
BFC 6
EMS 6
Field Command Unit
Mobile Command Unit
RS1 Support Unit",D1 D3 D6,Judiciary Square,38.89707407,-77.01948669,398309.58,136580.68,299998,Fire_022,{79F81968-687D-4054-81CD-DAE889CB056A},33,,,,,
-77.01090271,38.89584225,Engine Company 03,Engine House 3,439 NEW JERSEY AVENUE NW,(202) 673-3203,20001,6,6,"Organized: July 1, 1864 Washington City Fire Department

Original Apparatus: Unknown make Hose Reel Carriage 1866 Amoskeag 600 gpm steam fire engine.

Became District of Columbia Fire Department September 23, 1871.

1st Location: New Jersey Ave. & B Street SE in old Columbia Fire Company firehouse.

2nd Location: New firehouse at Delaware Ave. & C Streets NE on May 1, 1875.

3rd Location: New firehouse at 439 New Jersey Ave. NW with Truck Co. 1 on November 26, 1916.

Current Apparatus: 2002 Seagrave 1250 gpm pumper.

Engine 3
Medic 3
WS-E-52",D1 D3 D6,Union Station,38.89583446,-77.01090043,399054.4,136442.95,237163,Fire_035,{15EE2A8D-116F-427C-BF41-66365D01A695},34,,,,,
-77.02502749,38.92340435,Engine Company 04,Engine House 4,2531 SHERMAN AVENUE NW,(202) 673-3204,20001,4,1,"Organized: February 21, 1870 Washington City Fire Department. Known as South Washington Fire Co. No. 4.

Original Apparatus: 1867 John Rodgers Hose Reel Carriage 1870 Silsby 600 gpm steam fire engines ""Sayles J. Bowen"".

Became District of Columbia Fire Department September 23, 1871.

1st  Location: New firehouse at 4 th Street & Virginia Ave. SW.

2nd Location: In old Engine Co. 7 house at 931 R Street NW on September 12, 1940.

3rd Location: New firehouse at 2531 Sherman Ave. NW with Rescue Squad 2. Current Apparatus 2006 Seagrave 1250 gpm pumper.

Engine 4
Special Operations Battalion Fire Chief
Safety Officer
Ambulance 4
Air Unit 1
Mass Decon
EMS 7
CSU-4",66 68,U Street/African-Amer Civil War Memorial/Cardozo,38.92339656,-77.02502519,397829.93,139502.81,232303,Fire_011,{BE0122CD-9E26-4FCC-839A-BBB83851D6C7},35,,,,,
-77.06843818,38.91144572,Engine Company 05,Engine House 5,3412 DENT PLACE NW,(202) 673-3205,20007,5,2,"Organized: April 1, 1867 as Georgetown Fire Department Engine Co. 1.

Original Apparatus: 1867 McDermott Hose Reel Carriage 1867 Amoskeag 600 gpm steam fire engine ""Henry Addison"".

Became District of Columbia Fire Department Engine Co. 5 on September 23, 1871.

1st Location: High Street Georgetown (Wisconsin Ave. NW) in the old Vigilant Fire Company firehouse.

2nd Location: 3210 M Street NW in the old Georgetown City Hall on November 17, 1883.

3rd Location: With Truck Co. 5 at 3412 Dent Place NW on July 2, 1940.

Current Apparatus: 2003 Pierce 1250 gpm pumper.

Engine 5
Canteen Unit 1
Rehab Unit
Medic 5",D2,Foggy Bottom-GWU,38.91143794,-77.06843588,394064.56,138177.23,294568,Fire_018,{487DF5F1-41C5-4B33-BACB-19B8C82B3681},36,,,,,
-77.01607986,38.90769836,Engine Company 06,Engine House 6,1300 NEW JERSEY AVENUE NW,(202) 673-3206,20001,1,2,"Organized: February 17, 1879.

Original Apparatus: 1878 McDermott Hose Reel Carriage 1876 Clapp & Jones 550 gpm steam fire engine ""Thomas P. Morgan"".

1st Location: 438 Massachusetts Ave. NW in old Metropolitan Hook & Ladder Truck No. 1 firehouse.

2nd Location: New firehouse 1300 New Jersey Ave. NW. with Truck Co. 4 and Rescue Squad No. 1.

Current Apparatus: 2005 Seagrave 1250 gpm pumper.

Engine 6
Ambulance 6
Truck 4",96 97,Mt Vernon Sq 7th St-Convention Center,38.90769057,-77.01607757,398605.52,137759.14,294514,Fire_028,{4E1E2443-6E97-4F20-A0DC-B4CD87919F18},37,,,,,
-77.01123207,38.87693642,Engine Company 07,Engine House 7,1101 HALF STREET SW,(202) 673-3207,20024,2,6,"Organized: January 23, 1885.

Original Apparatus: Unknown make Hose Reel Carriage 1885 Clapp & Jones 450 gpm steam fire engine.

1st Location: 431 R Street NW.

2nd Location: With Truck Co. 10 at 347 K Street SW.

3rd Location: New firehouse 1101 Half Street SW.

Current Apparatus: 2006 Seagrave 1250 gpm pumper

Engine 7
Brush Unit 1
Medic 7 ",A9,Navy Yard,38.87692863,-77.01122978,399025.57,134344.26,277735,Fire_021,{E9D6F58A-5B9B-4590-B7D5-20CD4F3A0A0B},38,,,,,
-76.98294585,38.88554764,Engine Company 08,Engine House 8,1520 C STREET SE,(202) 673-3208,20003,2,6,"Organized: January 22, 1889.

Original apparatus: Unknown make Hose Reel Carriage 1884 Clapp & Jones 450 gpm steam fire engine.

1st Location: 637 North Carolina Ave. SE.

2nd Location: New firehouse 1520 C Street SE.

Current Apparatus: 2006 Seagrave 1250 gpm pumper.

Engine 8
Battalion Fire Chief 2
EMS 2
Medic 8
Air 2
Mass Decon
CSU-2",96 97,Stadium-Armory,38.88553986,-76.98294358,401479.84,135300.25,289723,Fire_019,{F4245D7B-A756-42D9-88D0-D8D92584AF6F},39,,,,,
-77.03752782,38.91730426,Engine Company 09,Engine House 9,1617 U STREET NW,(202) 673-3209,20009,4,1,"Organized: September 6, 1893.

Original apparatus: 1893 E.B. Preston Hose Reel Carriage 1893 American/Clapp & Jones 600 gpm steam fire engine.

1st Location: 1624 U Street NW.

2nd Location: New firehouse 1617 U Street NW.

Current apparatus: 2003 Seagrave 1250 gpm pumper.

Engine 9
Ambulance 9
Truck Company 9 ",90 92 93,U Street/African-Amer Civil War Memorial/Cardozo,38.91729647,-77.03752553,396745.68,138826.02,241846,Fire_025,{C74DD6A3-BE66-45FC-971C-639EA9719073},40,,,,,
